Locality,Court,Circuit Court Clerks Collected FY02,Circuit Court Clerks Collected FY03,Variance FY02 vs 03,Percent Variance FY02 vs 03,Commonwealth's Attorneys Collected FY02,Commonwealth's Attorneys Collected FY03,Variance FY02 vs 03,Percent Variance FY02 vs 03,Collection Agent
POWHATAN,JUVENILE,0,0,0,0.00,0,0,0,0.00,
POWHATAN,COMBINED,300766.10,321042.41,20276.31,6.32,28181.70,22844.82,05336.88,023.36,
PRINCE EDWARD,CIRCUIT,219265.87,252021.26,32755.39,13.00,25455.32,27399.27,1943.95,7.09,Taxation
PRINCE EDWARD,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
PRINCE EDWARD,JUVENILE,0,0,0,0.00,0,0,0,0.00,
PRINCE EDWARD,COMBINED,517201.76,633121.45,115919.69,18.31,79925.94,83972.41,4046.47,4.82,
PRINCE GEORGE,CIRCUIT,416690.89,382697.22,033993.67,08.88,19767.34,22445.29,2677.95,11.93,Taxation
PRINCE GEORGE,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
PRINCE GEORGE,JUVENILE,0,0,0,0.00,0,0,0,0.00,
PRINCE GEORGE,COMBINED,1073613.36,1354390.30,280776.94,20.73,143406.29,147989.00,4582.71,3.10,
PRINCE WILLIAM\MS\M PK,CIRCUIT,3840649.03,4113926.94,273277.91,6.64,130832.72,110248.68,020584.04,018.67,Local Attorney/Wallace Covington
PRINCE WILLIAM\MS\M PK,GENERAL DISTRICT,6112105.59,7491200.64,1379095.05,18.41,693450.90,680274.09,013176.81,01.94,
PRINCE WILLIAM\MS\M PK,JUVENILE,308010.71,346519.13,38508.42,11.11,44331.46,33215.27,011116.19,033.47,
PRINCE WILLIAM\MS\M PK,COMBINED,0,0,0,0.00,0,0,0,0.00,
PULASKI,CIRCUIT,232422.29,206978.59,025443.70,012.29,81156.91,101901.34,20744.43,20.36,Taxation
PULASKI,GENERAL DISTRICT,738605.63,946584.26,207978.63,21.97,136746.20,126449.32,010296.88,08.14,
PULASKI,JUVENILE,27219.87,32745.86,5525.99,16.88,9153.71,11940.08,2786.37,23.34,
PULASKI,COMBINED,0,0,0,0.00,0,0,0,0.00,
RAPPAHANNOCK,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
RAPPAHANNOCK,JUVENILE,0,0,0,0.00,0,0,0,0.00,
RAPPAHANNOCK,COMBINED,200615.61,180754.76,019860.85,010.99,15042.19,14695.24,0346.95,02.36,
RICHMOND CO,CIRCUIT,76032.09,70881.30,05150.79,07.27,16494.55,21100.45,4605.90,21.83,Taxation
RICHMOND CO,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
RICHMOND CO,JUVENILE,0,0,0,0.00,0,0,0,0.00,
RICHMOND CO,COMBINED,160508.99,158787.59,01721.40,01.08,14349.59,15052.44,702.85,4.67,
ROANOKE CO,CIRCUIT,1271774.17,1340378.89,68604.72,5.12,76350.55,84129.53,7778.98,9.25,Taxation
ROANOKE CO,GENERAL DISTRICT,1844809.36,1808878.72,035930.64,01.99,178021.22,185960.81,7939.59,4.27,
ROANOKE CO,JUVENILE,60224.08,78028.38,17804.30,22.82,17710.47,14418.41,03292.06,022.83,
ROANOKE CO,COMBINED,0,0,0,0.00,0,0,0,0.00,
ROCKBRIDGE,CIRCUIT,243910.34,232330.06,011580.28,04.98,68124.96,54663.06,013461.90,024.63,Taxation
ROCKBRIDGE,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
ROCKBRIDGE,JUVENILE,0,0,0,0.00,0,0,0,0.00,
ROCKBRIDGE,COMBINED,914720.48,1192805.15,278084.67,23.31,101331.65,80520.35,020811.30,025.85,
ROCKINGHAM\H'BG,CIRCUIT,1175332.44,1380245.79,204913.35,14.85,146650.94,120829.05,025821.89,021.37,Taxation
ROCKINGHAM\H'BG,GENERAL DISTRICT,2101382.77,2620632.27,519249.50,19.81,296136.27,320282.89,24146.62,7.54,
ROCKINGHAM\H'BG,JUVENILE,101923.77,123937.57,22013.80,17.76,26206.90,29555.27,3348.37,11.33,
ROCKINGHAM\H'BG,COMBINED,0,0,0,0.00,0,0,0,0.00,
RUSSELL,CIRCUIT,140998.99,161889.31,20890.32,12.90,35114.10,39651.15,4537.05,11.44,Taxation
RUSSELL,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
RUSSELL,JUVENILE,0,28776.14,28776.14,100.00,0,0,0,0.00,
RUSSELL,COMBINED,334955.85,392038.65,57082.80,14.56,57641.07,58071.48,430.41,0.74,
SCOTT,CIRCUIT,136915.34,137258.92,343.58,0.25,37972.19,23975.47,013996.72,058.38,Taxation
SCOTT,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
SCOTT,JUVENILE,0,0,0,0.00,0,0,0,0.00,
SCOTT,COMBINED,319860.31,407420.04,87559.73,21.49,61178.92,46124.07,015054.85,032.64,
SHENANDOAH,CIRCUIT,306848.80,353379.45,46530.65,13.17,35277.07,47741.35,12464.28,26.11,Taxation
SHENANDOAH,GENERAL DISTRICT,958287.50,0,0958287.50,0.00,133165.16,0,0133165.16,0.00,
SHENANDOAH,JUVENILE,36498.33,0,036498.33,0.00,7523.95,0,07523.95,0.00,
SHENANDOAH,COMBINED,0,1364984.73,1364984.73,100.00,0,149300.63,149300.63,100.00,
SMYTH,CIRCUIT,209644.54,207549.22,02095.32,01.01,38448.51,40999.80,2551.29,6.22,Taxation
SMYTH,GENERAL DISTRICT,568191.79,591294.89,23103.10,3.91,88772.45,99951.48,11179.03,11.18,
SMYTH,JUVENILE,17520.35,20701.67,3181.32,15.37,7046.71,7808.20,761.49,9.75,
SMYTH,COMBINED,0,0,0,0.00,0,0,0,0.00,
SOUTHAMPTON\FKLN,CIRCUIT,184234.19,267038.98,82804.79,31.01,79342.90,113677.73,34334.83,30.20,In house
SOUTHAMPTON\FKLN,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
SOUTHAMPTON\FKLN,JUVENILE,0,0,0,0.00,0,0,0,0.00,
SOUTHAMPTON\FKLN,COMBINED,1039768.35,1585134.14,545365.79,34.41,149799.44,183187.78,33388.34,18.23,Taxation
SPOTSLYVANNIA,CIRCUIT,418436.04,535870.86,117434.82,21.91,121959.30,112259.89,09699.41,08.64,Taxation
SPOTSLYVANNIA,GENERAL DISTRICT,1486060.15,1820319.42,334259.27,18.36,289723.43,277060.64,012662.79,04.57,
SPOTSLYVANNIA,JUVENILE,84568.78,105107.77,20538.99,19.54,13729.71,16532.86,2803.15,16.96,
SPOTSLYVANNIA,COMBINED,0,0,0,0.00,0,0,0,0.00,
STAFFORD,CIRCUIT,979351.62,1345479.38,366127.76,27.21,120616.47,130491.28,9874.81,7.57,Taxation
STAFFORD,GENERAL DISTRICT,1500873.55,1919595.69,418722.14,21.81,275065.71,274128.05,0937.66,00.34,
STAFFORD,JUVENILE,105687.64,149266.11,43578.47,29.20,17956.30,20031.36,2075.06,10.36,
STAFFORD,COMBINED,0,0,0,0.00,0,0,0,0.00,
SURRY,CIRCUIT,37912.54,18750.37,019162.17,0102.20,5454.12,5348.52,0105.6,01.97,Taxation
SURRY,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
SURRY,JUVENILE,0,0,0,0.00,0,0,0,0.00,
SURRY,COMBINED,97630.67,109197.99,11567.32,10.59,14950.11,17400.90,2450.79,14.08,
SUSSEX,CIRCUIT,322298.09,540462.40,218164.31,40.37,39527.93,24752.50,014775.43,059.69,Taxation
SUSSEX,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
SUSSEX,JUVENILE,0,0,0,0.00,0,0,0,0.00,
SUSSEX,COMBINED,1168084.56,1875162.94,707078.38,37.71,124844.72,150939.99,26095.27,17.29,
TAZEWELL,CIRCUIT,371046.25,323815.39,047230.86,014.59,102148.52,108342.24,6193.72,5.72,Taxation
TAZEWELL,GENERAL DISTRICT,547522.25,650526.77,103004.52,15.83,110727.45,100775.28,09952.17,09.88,
TAZEWELL,JUVENILE,43305.86,47228.41,3922.55,8.31,9858.97,10696.79,837.82,7.83,
TAZEWELL,COMBINED,0,0,0,0.00,0,0,0,0.00,
WARREN,CIRCUIT,221521.77,341648.56,120126.79,35.16,39847.42,28517.72,011329.70,039.73,Taxation
WARREN,GENERAL DISTRICT,654674.32,958082.86,303408.54,31.67,80587.77,90253.27,9665.50,10.71,
WARREN,JUVENILE,37749.21,44099.43,6350.22,14.40,8337.57,8688.63,351.06,4.04,
WARREN,COMBINED,0,0,0,0.00,0,0,0,0.00,
WASHINGTON,CIRCUIT,269354.16,284347.51,14993.35,5.27,14757.72,10285.31,04472.41,043.48,Taxation
WASHINGTON,GENERAL DISTRICT,704741.66,817391.03,112649.37,13.78,81411.28,83601.70,2190.42,2.62,
WASHINGTON,JUVENILE,36287.74,51689.87,15402.13,29.80,4625.87,7532.34,2906.47,38.59,
WASHINGTON,COMBINED,0,0,0,0.00,0,0,0,0.00,
WESTMORELAND,CIRCUIT,131985.33,131813.66,0171.67,00.13,22997.38,33096.34,10098.96,30.51,Taxation
WESTMORELAND,GENERAL DISTRICT,204342.53,196419.90,07922.63,04.03,33712.98,33670.12,042.86,00.13,
WESTMORELAND,JUVENILE,13354.84,13638.07,283.23,2.08,1108.78,3256.92,2148.14,65.96,
WESTMORELAND,COMBINED,0,0,0,0.00,0,0,0,0.00,
WISE,CIRCUIT,510201.24,879374.54,369173.30,41.98,52220.27,57132.20,4911.93,8.60,Fines Mgmt. Ltd.
WISE,GENERAL DISTRICT,707272.33,926404.95,219132.62,23.65,56761.77,60082.19,3320.42,5.53,
WISE,JUVENILE,20322.70,19331.70,0991,05.13,2112.96,2291.70,178.74,7.80,
WISE,COMBINED,0,0,0,0.00,0,0,0,0.00,
WYTHE,CIRCUIT,808938.20,1004996.95,196058.75,19.51,18800.39,20497.09,1696.70,8.28,Taxation
WYTHE,GENERAL DISTRICT,1618629.94,2147954.34,529324.40,24.64,145558.62,136783.21,08775.41,06.42,
WYTHE,JUVENILE,34637.03,50633.84,15996.81,31.59,10652.94,11369.04,716.1,6.30,
WYTHE,COMBINED,0,0,0,0.00,0,0,0,0.00,
YORK,CIRCUIT,595390.90,705335.16,109944.26,15.59,90630.95,109475.35,18844.40,17.21,Quadros & Associates
YORK,GENERAL DISTRICT,1009896.31,1214105.11,204208.80,16.82,190259.35,185942.58,04316.77,02.32,
YORK,JUVENILE,59396.16,80788.25,21392.09,26.48,7679.67,12077.49,4397.82,36.41,
YORK,COMBINED,0,0,0,0.00,0,0,0,0.00,
ALEXANDRIA,CIRCUIT,1364895.01,1547950.32,183055.31,11.83,253331.55,226445.18,026886.37,011.87,Taxation
ALEXANDRIA,GENERAL DISTRICT,1900988.63,2063686.38,162697.75,7.88,340725.61,303377.34,037348.27,012.31,
ALEXANDRIA,JUVENILE,26769.72,42369.06,15599.34,36.82,20811.38,21797.46,986.08,4.52,
ALEXANDRIA,COMBINED,0,0,0,0.00,50911.50,0,050911.50,0.00,
BRISTOL,CIRCUIT,312090.33,325852.61,13762.28,4.22,33454.24,33936.86,482.62,1.42,Taxation
BRISTOL,GENERAL DISTRICT,642337.99,623265.03,019072.96,03.06,83637.08,76206.47,07430.61,09.75,
BRISTOL,JUVENILE,19792.03,23224.14,3432.11,14.78,4037.45,5038.08,1000.63,19.86,
BRISTOL,COMBINED,0,0,0,0.00,0,0,0,0.00,
BUENA VISTA,CIRCUIT,53654.37,61369.08,7714.71,12.57,12122.19,12011.36,0110.83,00.92,Taxation
BUENA VISTA,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
BUENA VISTA,JUVENILE,0,0,0,0.00,0,0,0,0.00,
BUENA VISTA,COMBINED,87195.87,114594.62,27398.75,23.91,18548.35,13758.32,04790.03,034.82,
CHARLOTTESVILLE,CIRCUIT,364716.95,375488.56,10771.61,2.87,86838.99,106074.52,19235.53,18.13,Taxation
CHARLOTTESVILLE,GENERAL DISTRICT,876596.03,917915.69,41319.66,4.50,120795.96,116870.65,03925.31,03.36,
CHARLOTTESVILLE,JUVENILE,27156.21,24992.46,02163.75,08.66,14266.47,15505.34,1238.87,7.99,
CHARLOTTESVILLE,COMBINED,0,0,0,0.00,0,0,0,0.00,
CHESAPEAKE,CIRCUIT,2771753.29,3503817.56,732064.27,20.89,273008.29,311343.66,38335.37,12.31,Huff Poole & Mahoney
CHESAPEAKE,GENERAL DISTRICT,4147002.96,5105986.16,958983.20,18.78,669631.19,723014.18,53382.99,7.38,
CHESAPEAKE,JUVENILE,128948.83,165290.59,36341.76,21.99,23360.44,27529.70,4169.26,15.14,
CHESAPEAKE,COMBINED,0,0,0,0.00,0,0,0,0.00,
CLIFTON FORGE,CIRCUIT,3182.51,0,03182.51,0.00,0,0,0,0.00,Taxation
CLIFTON FORGE,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
CLIFTON FORGE,JUVENILE,0,0,0,0.00,0,0,0,0.00,
CLIFTON FORGE,COMBINED,7004.13,0,07004.13,0.00,0,0,0,0.00,
COLONIAL HEIGHTS,CIRCUIT,383793.71,458699.87,74906.16,16.33,37280.10,72939.08,35658.98,48.89,Taxation
COLONIAL HEIGHTS,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,HuffPoole & Mahoney
COLONIAL HEIGHTS,JUVENILE,0,0,0,0.00,0,0,0,0.00,
COLONIAL HEIGHTS,COMBINED,540464.10,683011.52,142547.42,20.87,122553.17,159372.62,36819.45,23.10,
DANVILLE,CIRCUIT,90577.32,89612.59,0964.73,01.08,395653.32,496199.24,100545.92,20.26,In House
DANVILLE,GENERAL DISTRICT,967462.01,1023442.00,55979.99,5.47,209880.77,192835.51,017045.26,08.84,
DANVILLE,JUVENILE,45769.82,55580.76,9810.94,17.65,11522.93,24515.22,12992.29,53.00,
DANVILLE,COMBINED,0,1493388.51,1493388.51,100.00,0,0,0,0.00,
EMPORIA,CIRCUIT,0,0,0,0.00,0,0,0,0.00,combind with Greenville Co.
EMPORIA,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
EMPORIA,JUVENILE,0,0,0,0.00,0,0,0,0.00,Taxation
EMPORIA,COMBINED,1292233.03,0,01292233.03,0.00,0,0,0,0.00,
FAIRFAX CITY,CIRCUIT,0,0,0,0.00,0,0,0,0.00,Combined w/ Fairfax Co.
FAIRFAX CITY,GENERAL DISTRICT,1116636.05,1119110.93,2474.88,0.22,0,0,0,0.00,
FAIRFAX CITY,JUVENILE,0,0,0,0.00,0,0,0,0.00,Taxation
FAIRFAX CITY,COMBINED,0,0,0,0.00,0,0,0,0.00,
FALLS CHURCH,CIRCUIT,0,0,0,0.00,0,0,0,0.00,Combined w/ Arlington
FALLS CHURCH,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,Taxation
FALLS CHURCH,JUVENILE,0,0,0,0.00,0,0,0,0.00,
FALLS CHURCH,COMBINED,413638.64,377411.38,036227.26,09.60,0,0,0,0.00,
FRANKLIN CITY,CIRCUIT,0,0,0,0.00,0,0,0,0.00,Combined w/ Southampton
FRANKLIN CITY,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
FRANKLIN CITY,JUVENILE,0,0,0,0.00,0,0,0,0.00,
FRANKLIN CITY,COMBINED,143778.49,158065.51,14287.02,9.04,0,0,0,0.00,
FREDERICKSBURG,CIRCUIT,402619.05,513322.95,110703.90,21.57,77069.08,91869.96,14800.88,16.11,Taxation
FREDERICKSBURG,GENERAL DISTRICT,933549.78,1289484.55,355934.77,27.60,141907.49,161051.39,19143.90,11.89,
FREDERICKSBURG,JUVENILE,25655.66,34451.23,8795.57,25.53,9751.97,7014.81,02737.16,039.02,
FREDERICKSBURG,COMBINED,0,0,0,0.00,0,0,0,0.00,
GALAX,CIRCUIT,0,0,0,0.00,0,0,0,0.00,Combined w/ Grayson
GALAX,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
GALAX,JUVENILE,0,0,0,0.00,0,0,0,0.00,
GALAX,COMBINED,155195.19,201730.72,46535.53,23.07,0,0,0,0.00,
HAMPTON,CIRCUIT,1081901.71,1289789.63,207887.92,16.12,96480.00,104183.00,7703.00,7.39,City of Hampton
HAMPTON,GENERAL DISTRICT,2296847.68,2904404.06,607556.38,20.92,332612.00,357458.00,24846.00,6.95,
HAMPTON,JUVENILE,52108.90,81837.16,29728.26,36.33,18046.00,21109.00,3063.00,14.51,
HAMPTON,COMBINED,0,0,0,0.00,0,0,0,0.00,
HOPEWELL,CIRCUIT,130087.25,150181.22,20093.97,13.38,67799.94,72383.07,4583.13,6.33,Taxation
HOPEWELL,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
HOPEWELL,JUVENILE,0,0,0,0.00,0,0,0,0.00,
HOPEWELL,COMBINED,282159.51,370384.42,88224.91,23.82,109226.57,105824.70,03401.87,03.21,
LYNCHBURG,CIRCUIT,961538.97,761600.16,0199938.81,026.25,104130.73,144227.14,40096.41,27.80,Taxation
LYNCHBURG,GENERAL DISTRICT,1354569.57,1190590.69,0163978.88,013.77,222128.65,282153.17,60024.52,21.27,
LYNCHBURG,JUVENILE,57717.25,47652.56,010064.69,021.12,14044.18,22560.23,8516.05,37.75,
LYNCHBURG,COMBINED,0,0,0,0.00,0,0,0,0.00,
MARTINSVILLE,CIRCUIT,325585.51,305661.15,019924.36,06.52,115048.89,98270.43,016778.46,017.07,Taxation
MARTINSVILLE,GENERAL DISTRICT,436702.45,464708.65,28006.20,6.03,71911.48,73177.38,1265.90,1.73,
MARTINSVILLE,JUVENILE,23513.15,21882.71,01630.44,07.45,8307.10,7409.80,0897.3,012.11,
MARTINSVILLE,COMBINED,0,0,0,0.00,0,0,0,0.00,
NEWPORT NEWS,CIRCUIT,2160570.80,2142443.03,018127.77,00.85,696270.19,675904.34,020365.85,03.01,Taxation
NEWPORT NEWS,GENERAL DISTRICT,3617237.82,4773656.77,1156418.95,24.23,114092.54,121452.36,7359.82,6.06,Quadros & Associates
NEWPORT NEWS,JUVENILE,105084.82,111874.67,6789.85,6.07,85756.62,76606.90,09149.72,011.94,Quadros & Associates
NEWPORT NEWS,COMBINED,0,0,0,0.00,569679.03,610018.46,40339.43,6.61,Quadros & Assoc.
NORFOLK,CIRCUIT,1128651.91,1312988.31,184336.40,14.04,378508.23,373418.33,05089.90,01.36,Local Atty0Glasser & Glasser
NORFOLK,GENERAL DISTRICT,4678244.67,4980024.68,301780.01,6.06,1062929.11,1091925.56,28996.45,2.66,
NORFOLK,JUVENILE,104712.92,117235.70,12522.78,10.68,29625.49,30276.74,651.25,2.15,
NORFOLK,COMBINED,0,0,0,0.00,0,0,0,0.00,
NORTON,CIRCUIT,0,0,0,0.00,0,0,0,0.00,Taxation
NORTON,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,Combined w/ Wise Co
NORTON,JUVENILE,0,0,0,0.00,0,0,0,0.00,
NORTON,COMBINED,0,0,0,0.00,0,0,0,0.00,
PETERSBURG,CIRCUIT,445997.29,448288.88,2291.59,0.51,119087.88,125392.54,6304.66,5.03,Taxation
PETERSBURG,GENERAL DISTRICT,1000490.46,1162230.73,161740.27,13.92,225692.25,192739.86,032952.39,017.10,
PETERSBURG,JUVENILE,32961.12,35721.46,2760.34,7.73,41752.57,41298.55,0454.02,01.10,
PETERSBURG,COMBINED,0,0,0,0.00,0,0,0,0.00,
PORTSMOUTH,CIRCUIT,338118.76,455008.68,116889.92,25.69,462404.19,545900.87,83496.68,15.30,Roland W. Dodson LTD
PORTSMOUTH,GENERAL DISTRICT,1207646.51,1553854.69,346208.18,22.28,1423014.07,1531200.09,108186.02,7.07,
PORTSMOUTH,JUVENILE,42428.71,79272.78,36844.07,46.48,60554.25,75342.04,14787.79,19.63,
PORTSMOUTH,COMBINED,0,0,0,0.00,0,0,0,0.00,
RADFORD,CIRCUIT,113260.92,108555.24,04705.68,04.33,20263.68,22017.31,1753.63,7.96,Taxation
RADFORD,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
RADFORD,JUVENILE,0,0,0,0.00,0,0,0,0.00,
RADFORD,COMBINED,308393.79,377843.10,69449.31,18.38,79792.21,84776.49,4984.28,5.88,
RICHMOND CITY,CIRCUIT,893117.42,962028.24,68910.82,7.16,396194.45,324325.00,071869.45,022.16,Marvel Collections
RICHMOND CITY,GENERAL DISTRICT,4798631.95,5598398.04,799766.09,14.29,1090426.04,992200.00,098226.04,09.90,
RICHMOND CITY,JUVENILE,48801.81,48035.68,0766.13,01.59,51936.70,41260.00,010676.70,025.88,
RICHMOND CITY,COMBINED,0,0,0,0.00,0,0,0,0.00,
RICHMOND CITY MAN,CIRCUIT,235853.30,401852.39,165999.09,41.31,0,0,0,0.00,Combined/ Richmond City
RICHMOND CITY MAN,GENERAL DISTRICT,509510.76,589069.62,79558.86,13.51,0,0,0,0.00,
RICHMOND CITY MAN,JUVENILE,0,0,0,0.00,0,0,0,0.00,Combined w/ Richmond City
RICHMOND CITY MAN,COMBINED,0,0,0,0.00,0,0,0,0.00,
ROANOKE CITY,CIRCUIT,658282.01,844064.92,185782.91,22.01,113433.89,126368.27,12934.38,10.24,In House
ROANOKE CITY,GENERAL DISTRICT,1960344.51,2839917.40,879572.89,30.97,292024.69,282620.63,09404.06,03.33,See footnote Page 43
ROANOKE CITY,JUVENILE,52935.87,88663.00,35727.13,40.30,15366.44,21076.17,5709.73,27.09,
ROANOKE CITY,COMBINED,0,0,0,0.00,0,0,0,0.00,
SALEM,CIRCUIT,215346.66,185871.00,029475.66,015.86,34694.48,40808.31,6113.83,14.98,Taxation
SALEM,GENERAL DISTRICT,0,0,0,0.00,0,0,0,0.00,
SALEM,JUVENILE,0,0,0,0.00,0,0,0,0.00,
SALEM,COMBINED,474483.72,531925.06,57441.34,10.80,50632.25,67911.82,17279.57,25.44,
STAUNTON,CIRCUIT,159921.31,171780.78,11859.47,6.90,46990.09,44625.78,02364.31,05.30,Taxation
STAUNTON,GENERAL DISTRICT,365389.84,415622.09,50232.25,12.09,82135.40,69307.09,012828.31,018.51,
STAUNTON,JUVENILE,24614.57,34771.04,10156.47,29.21,10780.96,10212.07,0568.89,05.57,
STAUNTON,COMBINED,0,0,0,0.00,0,0,0,0.00,
SUFFOLK,CIRCUIT,2034807.92,836229.65,01198578.27,0143.33,146192.32,153168.59,6976.27,4.55,Taxation
SUFFOLK,GENERAL DISTRICT,921712.22,1468611.46,546899.24,37.24,186800.78,194866.03,8065.25,4.14,
SUFFOLK,JUVENILE,31099.72,42224.42,11124.70,26.35,21097.33,19929.13,01168.20,05.86,
SUFFOLK,COMBINED,0,0,0,0.00,0,0,0,0.00,
VIRGINIA BEACH,CIRCUIT,6382773.86,4571638.31,01811135.55,039.62,459091.14,487676.97,28585.83,5.86,Huff Poole & Mahoney
VIRGINIA BEACH,GENERAL DISTRICT,7977360.63,9589030.82,1611670.19,16.81,1495166.24,1613603.71,118437.47,7.34,
VIRGINIA BEACH,JUVENILE,506453.85,542419.91,35966.06,6.63,35857.44,48898.43,13040.99,26.67,
VIRGINIA BEACH,COMBINED,0,0,0,0.00,0,0,0,0.00,
WAYNESBORO,CIRCUIT,105187.41,99968.10,05219.31,05.22,43078.75,44395.91,1317.16,2.97,Taxation
WAYNESBORO,GENERAL DISTRICT,365575.70,450730.95,85155.25,18.89,88006.07,84829.27,03176.80,03.74,
WAYNESBORO,JUVENILE,22385.36,29346.90,6961.54,23.72,8513.14,11489.29,2976.15,25.90,
WAYNESBORO,COMBINED,0,0,0,0.00,0,0,0,0.00,
WILLIAMSBURG\JC,CIRCUIT,752110.97,843275.04,91164.07,10.81,123484.45,106955.27,016529.18,015.45,Taxation/ DAVID HUDSON
WILLIAMSBURG\JC,GENERAL DISTRICT,1197079.47,1429611.10,232531.63,16.27,149071.90,144761.69,04310.21,02.98,Taxation / David Hudson
WILLIAMSBURG\JC,JUVENILE,69339.27,75336.56,5997.29,7.96,12014.44,18938.59,6924.15,36.56,Taxation
WILLIAMSBURG\JC,COMBINED,0,0,0,0.00,0,0,0,0.00,
WINCHESTER,CIRCUIT,289307.43,333850.37,44542.94,13.34,48801.43,49218.21,416.78,0.85,Taxation
WINCHESTER,GENERAL DISTRICT,666982.77,825222.18,158239.41,19.18,166222.15,155212.92,011009.23,07.09,
WINCHESTER,JUVENILE,24247.90,24054.24,0193.66,00.81,6041.31,5967.65,073.66,01.23,
WINCHESTER,COMBINED,0,0,0,0.00,0,0,0,0.00,
TOTAL,,218486163.78,255986404.63,37500240.85,14.65,36785627.57,34193717.77,02591909.80,07.58,
