Locality,Court,Circuit Court Clerks FY03 Collections,Circuit Court Clerks FY04 Collections,Circuit Court Clerks Variance FY03 vs FY04,Circuit Court Clerks Percent Variance,Commonwealth's Attorneys FY03 Collections,Commonwealth's Attorneys FY04 Collections,Commonwealth's Attorneys Variance FY03 vs FY04,Commonwealth's Attorneys Percent Variance,Commonwealth's Attorneys Collection Method
PRINCE GEORGE,Circuit,382697.22,510740.88,128043.66,33.46,22445.29,27050.62,4605.33,20.52,Taxation
PRINCE GEORGE,District,-,-,-,,-,-,-,,Taxation
PRINCE GEORGE,Juvenile,-,-,-,,-,-,-,,Taxation
PRINCE GEORGE,Combined,1354390.30,1637885.10,283494.80,20.93,147989.00,175513.70,27524.70,18.60,Taxation
Prince William & Manassas & Manassas Park,Circuit,4113926.94,4927357.28,813430.34,19.77,110248.68,160661.93,50413.25,45.73,Attorney-Wallace Covington
Prince William & Manassas & Manassas Park,District,7491200.64,9776892.73,2285692.09,30.51,680274.09,887054.60,206780.51,30.40,Attorney-Wallace Covington
Prince William & Manassas & Manassas Park,Juvenile,346519.13,408078.26,61559.13,17.77,33215.27,57205.31,23990.04,72.23,Attorney-Wallace Covington
Prince William & Manassas & Manassas Park,Combined,-,-,-,,-,-,-,,Attorney-Wallace Covington
Pulaski,Circuit,206978.59,343356.65,136378.06,65.89,101901.34,98018.31,-3883.03,-3.81,Taxation
Pulaski,District,946584.26,1178880.64,232296.38,24.54,126449.32,154793.73,28344.41,22.42,Taxation
Pulaski,Juvenile,32745.86,69719.74,36973.88,112.91,11940.08,20722.41,8782.33,73.55,Taxation
Pulaski,Combined,-,-,-,,-,-,-,,Taxation
RAPPAHANNOCK,Circuit,64517.46,91169.17,26651.71,41.31,6172.51,14789.57,8617.06,139.60,Taxation
RAPPAHANNOCK,District,-,-,-,,-,-,-,,Taxation
RAPPAHANNOCK,Juvenile,-,-,-,,-,-,-,,Taxation
RAPPAHANNOCK,Combined,180754.76,322391.79,141637.03,78.36,14695.24,22250.29,7555.05,51.41,Taxation
Richmond County,Circuit,70881.30,107670.15,36788.85,51.90,21100.45,12572.79,-8527.66,-40.41,Taxation
Richmond County,District,-,-,-,,-,-,-,,Taxation
Richmond County,Juvenile,-,-,-,,-,-,-,,Taxation
Richmond County,Combined,158787.59,255629.72,96842.13,60.99,15052.44,19305.80,4253.36,28.26,Taxation
ROANOKE COUNTY,Circuit,1340378.89,1485142.48,144763.59,10.80,84129.53,95439.62,11310.09,13.44,Taxation
ROANOKE COUNTY,District,1808878.72,2300184.34,491305.62,27.16,185960.81,234120.83,48160.02,25.90,Taxation
ROANOKE COUNTY,Juvenile,78028.38,117787.80,39759.42,50.96,14418.41,21548.16,7129.75,49.45,Taxation
ROANOKE COUNTY,Combined,-,-,-,,-,-,-,,Taxation
ROCKBRIDGE,Circuit,232330.06,275136.01,42805.95,18.42,54663.06,59196.47,4533.41,8.29,Taxation
ROCKBRIDGE,District,-,-,-,,-,-,-,,Taxation
ROCKBRIDGE,Juvenile,-,-,-,,-,-,-,,Taxation
ROCKBRIDGE,Combined,1192805.15,1430607.61,237802.46,19.94,80520.35,101283.53,20763.18,25.79,Taxation
Rockingham County & Harrisonburg,Circuit,1380245.79,1858170.21,477924.42,34.63,120829.05,155799.59,34970.54,28.94,Taxation
Rockingham County & Harrisonburg,District,2620632.27,3432939.82,812307.55,31.00,320282.89,358499.65,38216.76,11.93,Taxation
Rockingham County & Harrisonburg,Juvenile,123937.57,165058.97,41121.40,33.18,29555.27,33005.43,3450.16,11.67,Taxation
Rockingham County & Harrisonburg,Combined,-,-,-,,-,-,-,,Taxation
Russell,Circuit,161889.31,199999.30,38109.99,23.54,39651.15,49590.05,9938.90,25.07,Taxation
Russell,District,-,-,-,,-,-,-,,Taxation
Russell,Juvenile,28776.14,-,-28776.14,NA,-,-,-,,Taxation
Russell,Combined,392038.65,563302.13,171263.48,43.69,58071.48,70229.22,12157.74,20.94,Taxation
SCOTT,Circuit,137258.92,183629.96,46371.04,33.78,23975.47,25668.64,1693.17,7.06,Fines Mgmt. Ltd.
SCOTT,District,-,-,-,,-,-,-,,Fines Mgmt. Ltd.
SCOTT,Juvenile,-,-,-,,-,-,-,,Fines Mgmt. Ltd.
SCOTT,Combined,407420.04,556131.02,148710.98,36.50,46124.07,31059.25,-15064.82,-32.66,Fines Mgmt. Ltd.
SHENANDOAH,Circuit,353379.45,392245.95,38866.50,11.00,47741.35,55232.25,7490.90,15.69,Taxation
SHENANDOAH,District,-,-,-,,-,157622.61,157622.61,NA,Taxation
SHENANDOAH,Juvenile,-,34487.90,34487.90,NA,-,4740.76,4740.76,NA,Taxation
SHENANDOAH,Combined,1364984.73,1830363.53,465378.80,34.09,149300.63,-,-149300.63,-100.00,Taxation
SMYTH,Circuit,207549.22,258149.22,50600.00,24.38,40999.80,54879.45,13879.65,33.85,Taxation
SMYTH,District,591294.89,911416.59,320121.70,54.14,99951.48,105378.55,5427.07,5.43,Taxation
SMYTH,Juvenile,20701.67,34498.06,13796.39,66.64,7808.20,10489.63,2681.43,34.34,Taxation
SMYTH,Combined,-,-,-,,-,-,-,,Taxation
Southampton County & Franklin City,Circuit,267038.98,350386.05,83347.07,31.21,113677.73,81938.20,-31739.53,-27.92,"In-House Page B-13, footnote 1"
Southampton County & Franklin City,District,-,-,-,,-,-,-,,"In-House Page B-13, footnote 1"
Southampton County & Franklin City,Juvenile,-,-,-,,-,-,-,,"In-House Page B-13, footnote 1"
Southampton County & Franklin City,Combined,1585134.14,1858598.82,273464.68,17.25,183187.78,201067.54,17879.76,9.76,"In-House Page B-13, footnote 1"
SPOTSLYVANIA,Circuit,535870.86,791855.89,255985.03,47.77,112259.89,141130.12,28870.23,25.72,Taxation
SPOTSLYVANIA,District,1820319.42,2806598.12,986278.70,54.18,277060.64,362625.82,85565.18,30.88,Taxation
SPOTSLYVANIA,Juvenile,105107.77,170912.04,65804.27,62.61,16532.86,29414.27,12881.41,77.91,Taxation
SPOTSLYVANIA,Combined,-,-,-,,-,-,-,,Taxation
Stafford,Circuit,1345479.38,1793517.76,448038.38,33.30,130491.28,199865.07,69373.79,53.16,Taxation
Stafford,District,1919595.69,2804039.25,884443.56,46.07,274128.05,369768.41,95640.36,34.89,Taxation
Stafford,Juvenile,149266.11,168408.36,19142.25,12.82,20031.36,31624.07,11592.71,57.87,Taxation
Stafford,Combined,-,-,-,,-,-,-,,Taxation
SURRY,Circuit,18750.37,35335.04,16584.67,88.45,5348.52,11876.07,6527.55,122.04,Taxation
SURRY,District,-,-,-,,-,-,-,,Taxation
SURRY,Juvenile,-,-,-,,-,-,-,,Taxation
SURRY,Combined,109197.99,202221.82,93023.83,85.19,17400.90,25419.28,8018.38,46.08,Taxation
Sussex,Circuit,540462.40,826595.88,286133.48,52.94,24752.50,27532.41,2779.91,11.23,Taxation
Sussex,District,-,-,-,,-,-,-,,Taxation
Sussex,Juvenile,-,-,-,,-,-,-,,Taxation
Sussex,Combined,1875162.94,2752361.45,877198.51,46.78,150939.99,193134.26,42194.27,27.95,Taxation
TAZEWELL,Circuit,323815.39,543829.51,220014.12,67.94,108342.24,184768.39,76426.15,70.54,Taxation
TAZEWELL,District,650526.77,899753.06,249226.29,38.31,100775.28,115750.67,14975.39,14.86,Taxation
TAZEWELL,Juvenile,47228.41,65971.10,18742.69,39.69,10696.79,9589.13,-1107.66,-10.36,Taxation
TAZEWELL,Combined,-,-,-,,-,-,-,,Taxation
Warren,Circuit,341648.56,496088.56,154440.00,45.20,28517.72,43044.33,14526.61,50.94,Taxation
Warren,District,958082.86,1268651.63,310568.77,32.42,90253.27,134432.17,44178.90,48.95,Taxation
Warren,Juvenile,44099.43,65823.05,21723.62,49.26,8688.63,12475.38,3786.75,43.58,Taxation
Warren,Combined,-,-,-,,-,-,-,,Taxation
WASHINGTON,Circuit,284347.51,368032.35,83684.84,29.43,10285.31,19566.71,9281.40,90.24,Taxation
WASHINGTON,District,817391.03,1170115.12,352724.09,43.15,83601.70,114957.53,31355.83,37.51,Taxation
WASHINGTON,Juvenile,51689.87,43820.99,-7868.88,-15.22,7532.34,8078.58,546.24,7.25,Taxation
WASHINGTON,Combined,-,-,-,,-,-,-,,Taxation
WESTMORELAND,Circuit,131813.66,166024.48,34210.82,25.95,33096.34,22252.59,-10843.75,-32.76,Taxation
WESTMORELAND,District,196419.90,285392.37,88972.47,45.30,33670.12,44362.27,10692.15,31.76,Taxation
WESTMORELAND,Juvenile,13638.07,20929.57,7291.50,53.46,3256.92,3812.28,555.36,17.05,Taxation
WESTMORELAND,Combined,-,-,-,,-,-,-,,Taxation
Wise County & Norton,Circuit,879374.54,911042.17,31667.63,3.60,57132.20,66147.54,9015.34,15.78,Fines Mgmt. Ltd.
Wise County & Norton,District,926404.95,1130160.48,203755.53,21.99,60082.19,74394.98,14312.79,23.82,Fines Mgmt. Ltd.
Wise County & Norton,Juvenile,19331.70,27838.13,8506.43,44.00,2291.70,4029.20,1737.50,75.82,Fines Mgmt. Ltd.
Wise County & Norton,Combined,-,-,-,,-,-,-,,Fines Mgmt. Ltd.
WYTHE,Circuit,1004996.95,1232539.94,227542.99,22.64,20497.09,20912.14,415.05,2.02,Taxation
WYTHE,District,2147954.34,2709128.86,561174.52,26.13,136783.21,166694.36,29911.15,21.87,Taxation
WYTHE,Juvenile,50633.84,77486.04,26852.20,53.03,11369.04,15294.36,3925.32,34.53,Taxation
WYTHE,Combined,-,-,-,,-,-,-,,Taxation
YORK,Circuit,705335.16,791894.80,86559.64,12.27,109475.35,111598.56,2123.21,1.94,Quadros & Associates
YORK,District,1214105.11,1440783.07,226677.96,18.67,185942.58,184833.96,-1108.62,-0.60,Quadros & Associates
YORK,Juvenile,80788.25,76593.75,-4194.50,-5.19,12077.49,13120.23,1042.74,8.63,Quadros & Associates
YORK,Combined,-,-,-,,-,-,-,,Quadros & Associates
ALEXANDRIA,Circuit,1547950.32,1844420.50,296470.18,19.15,226445.18,224410.17,-2035.01,-0.90,Taxation
ALEXANDRIA,District,2063686.38,2914362.93,850676.55,41.22,303377.34,314178.58,10801.24,3.56,Taxation
ALEXANDRIA,Juvenile,42369.06,55484.06,13115.00,30.95,21797.46,22661.92,864.46,3.97,Taxation
ALEXANDRIA,Combined,-,-,-,,-,-,-,,Taxation
BRISTOL,Circuit,325852.61,428151.87,102299.26,31.39,33936.86,34305.90,369.04,1.09,Taxation
BRISTOL,District,623265.03,793402.20,170137.17,27.30,76206.47,98605.61,22399.14,29.39,Taxation
BRISTOL,Juvenile,23224.14,31637.96,8413.82,36.23,5038.08,6092.93,1054.85,20.94,Taxation
BRISTOL,Combined,-,-,-,,-,-,-,,Taxation
BUENA VISTA,Circuit,61369.08,97805.69,36436.61,59.37,12011.36,16283.67,4272.31,35.57,Taxation
BUENA VISTA,District,-,-,-,,-,-,-,,Taxation
BUENA VISTA,Juvenile,-,-,-,,-,-,-,,Taxation
BUENA VISTA,Combined,114594.62,152649.62,38055.00,33.21,13758.32,20363.12,6604.80,48.01,Taxation
Charlottesville,Circuit,375488.56,507899.65,132411.09,35.26,106074.52,97481.30,-8593.22,-8.10,Taxation
Charlottesville,District,917915.69,1111546.45,193630.76,21.09,116870.65,124518.40,7647.75,6.54,Taxation
Charlottesville,Juvenile,24992.46,46262.29,21269.83,85.10,15505.34,16084.08,578.74,3.73,Taxation
Charlottesville,Combined,-,-,-,,-,-,-,,Taxation
Chesapeake,Circuit,3503817.56,3729664.92,225847.36,6.45,311343.66,365110.53,53766.87,17.27,"Huff, Poole, & Mahoney"
Chesapeake,District,5105986.16,5785338.89,679352.73,13.31,723014.18,840884.57,117870.39,16.30,"Huff, Poole, & Mahoney"
Chesapeake,Juvenile,165290.59,196939.09,31648.50,19.15,27529.70,35328.34,7798.64,28.33,"Huff, Poole, & Mahoney"
Chesapeake,Combined,-,-,-,,-,-,-,,"Huff, Poole, & Mahoney"
COLONIAL HEIGHTS,Circuit,458699.87,549991.17,91291.30,19.90,72939.08,78610.37,5671.29,7.78,Taxation
COLONIAL HEIGHTS,District,-,-,-,,-,-,-,,Taxation
COLONIAL HEIGHTS,Juvenile,-,-,-,,-,-,-,,Taxation
COLONIAL HEIGHTS,Combined,683011.52,840201.74,157190.22,23.01,159372.62,185722.89,26350.27,16.53,"Huff,Poole & Mahoney"
DANVILLE,Circuit,89612.59,98164.52,8551.93,9.54,496199.24,295091.18,-201108.06,-40.53,"In House Page B-13, footnote 1"
DANVILLE,District,1023442.00,978630.97,-44811.03,-4.38,192835.51,164704.68,-28130.83,-14.59,"In House Page B-13, footnote 1"
DANVILLE,Juvenile,55580.76,46746.44,-8834.32,-15.89,24515.22,15080.06,-9435.16,-38.49,"In House Page B-13, footnote 1"
DANVILLE,Combined,1493388.51,-,-1493388.51,NA,-,-,-,,"In House Page B-13, footnote 1"
EMPORIA,Circuit,-,-,-,,-,-,-,,"Page B-13, footnote 3"
EMPORIA,District,-,-,-,,-,-,-,,"Page B-13, footnote 3"
EMPORIA,Juvenile,-,-,-,,-,-,-,,"Page B-13, footnote 3"
EMPORIA,Combined,-,1429035.16,1429035.16,NA,-,-,-,,"Page B-13, footnote 3"
FAIRFAX CITY,Circuit,-,-,-,,-,-,-,,"Page B-13, footnote 3"
FAIRFAX CITY,District,1119110.93,1788656.54,669545.61,59.83,-,-,-,,"Page B-13, footnote 3"
FAIRFAX CITY,Juvenile,-,-,-,,-,-,-,,"Page B-13, footnote 3"
FAIRFAX CITY,Combined,-,-,-,,,-,-,-,"Page B-13, footnote 3"
FALLS CHURCH,Circuit,-,-,-,,,-,-,-,"Page B-13, footnote 3"
FALLS CHURCH,District,-,-,-,,,-,-,-,"Page B-13, footnote 3"
FALLS CHURCH,Juvenile,-,-,-,,,-,-,-,"Page B-13, footnote 3"
FALLS CHURCH,Combined,377411.38,727264.69,349853.31,92.70,,-,-,-,"Page B-13, footnote 3"
FRANKLIN CITY,Circuit,-,-,-,,,-,-,-,"Page B-13, footnote 3"
FRANKLIN CITY,District,-,-,-,,,-,-,-,"Page B-13, footnote 3"
FRANKLIN CITY,Juvenile,-,-,-,,,-,-,-,"Page B-13, footnote 3"
FRANKLIN CITY,Combined,158065.51,214427.08,56361.57,35.66,,-,-,-,"Page B-13, footnote 3"
FREDERICKSBURG,Circuit,513322.95,731879.17,218556.22,42.58,91869.96,131387.04,39517.08,43.01,Taxation
FREDERICKSBURG,District,1289484.55,1541612.07,252127.52,19.55,161051.39,213861.55,52810.16,32.79,Taxation
FREDERICKSBURG,Juvenile,34451.23,53305.85,18854.62,54.73,7014.81,11981.29,4966.48,70.80,Taxation
FREDERICKSBURG,Combined,-,-,-,,-,-,-,,Taxation
GALAX,Circuit,-,-,-,,-,-,-,,"Page B-13, footnote 3"
GALAX,District,-,-,-,,,-,-,-,"Page B-13, footnote 3"
GALAX,Juvenile,-,-,-,,,-,-,-,"Page B-13, footnote 3"
GALAX,Combined,201730.72,295654.74,93924.02,46.56,,-,-,-,"Page B-13, footnote 3"
HAMPTON,Circuit,1289789.63,1667609.28,377819.65,29.29,104183.00,109772.00,5589.00,5.36,City of Hampton
HAMPTON,District,2904404.06,3793915.60,889511.54,30.63,357458.00,402254.00,44796.00,12.53,City of Hampton
HAMPTON,Juvenile,81837.16,107323.29,25486.13,31.14,21109.00,24495.00,3386.00,16.04,City of Hampton
HAMPTON,Combined,-,-,-,,-,-,-,,City of Hampton
HOPEWELL,Circuit,150181.22,217522.14,67340.92,44.84,72383.07,73389.72,1006.65,1.39,Taxation
HOPEWELL,District,-,-,-,,-,-,-,,Taxation
HOPEWELL,Juvenile,-,-,-,,-,-,-,,Taxation
HOPEWELL,Combined,370384.42,538613.98,168229.56,45.42,105824.70,108146.70,2322.00,2.19,Taxation
Lynchburg,Circuit,761600.16,964076.83,202476.67,26.59,144227.14,180856.07,36628.93,25.40,Taxation
Lynchburg,District,1190590.69,1626379.68,435788.99,36.60,282153.17,290365.73,8212.56,2.91,Taxation
Lynchburg,Juvenile,47652.56,81341.34,33688.78,70.70,22560.23,26456.98,3896.75,17.27,Taxation
Lynchburg,Combined,-,-,-,,-,-,-,,Taxation
Martsinville,Circuit,305661.15,508160.47,202499.32,66.25,98270.43,142741.15,44470.72,45.25,Taxation
Martsinville,District,464708.65,626601.33,161892.68,34.84,73177.38,84289.23,11111.85,15.18,Taxation
Martsinville,Juvenile,21882.71,39533.89,17651.18,80.66,7409.80,12758.36,5348.56,72.18,Taxation
Martsinville,Combined,-,-,-,,-,-,-,,Taxation
Newport News,Circuit,2142443.03,3231961.54,1089518.51,50.85,675904.34,734813.25,58908.91,8.72,Taxation
Newport News,District,4773656.77,5476198.50,702541.73,14.72,121452.36,897359.85,775907.49,638.86,Taxation / Quadros & Assoc.
Newport News,Juvenile,111874.67,172281.44,60406.77,54.00,76606.90,73803.99,-2802.91,-3.66,Taxation
Newport News,Combined,-,-,-,,610018.46,-,-610018.46,NA,Quadros & Assoc.
Norfolk,Circuit,1312988.31,1048125.54,-264862.77,-20.17,373418.33,559613.70,186195.37,49.86,Local Atty-Glasser & Glasser
Norfolk,District,4980024.68,5232042.61,252017.93,5.06,1091925.56,1240712.36,148786.80,13.63,Local Atty-Glasser & Glasser
Norfolk,Juvenile,117235.70,117086.00,-149.7,-0.13,30276.74,49601.85,19325.11,63.83,Local Atty-Glasser & Glasser
Norfolk,Combined,-,-,-,,-,-,-,,Local Atty-Glasser & Glasser
Petersburg,Circuit,448288.88,696083.14,247794.26,55.28,125392.54,149564.77,24172.23,19.28,Taxation
Petersburg,District,1162230.73,1548372.62,386141.89,33.22,192739.86,234308.26,41568.40,21.57,Taxation
Petersburg,Juvenile,35721.46,83646.56,47925.10,134.16,41298.55,41996.14,697.59,1.69,Taxation
Petersburg,Combined,-,-,-,,-,-,-,,Taxation
Portsmouth,Circuit,455008.68,472140.76,17132.08,3.77,545900.87,605417.18,59516.31,10.90,"Roland W. Dodson, LTD"
Portsmouth,District,1553854.69,2185695.46,631840.77,40.66,1531200.09,2171359.82,640159.73,41.81,"Roland W. Dodson, LTD"
Portsmouth,Juvenile,79272.78,87381.43,8108.65,10.23,75342.04,91031.08,15689.04,20.82,"Roland W. Dodson, LTD"
Portsmouth,Combined,-,-,-,,-,-,-,,"Roland W. Dodson, LTD"
Radford,Circuit,108555.24,133256.68,24701.44,22.75,22017.31,21304.92,-712.39,-3.24,Taxation
Radford,District,-,-,-,,-,-,-,,Taxation
Radford,Juvenile,-,-,-,,-,-,-,,Taxation
Radford,Combined,377843.10,542037.26,164194.16,43.46,84776.49,111518.89,26742.40,31.54,Taxation
Richmond City,Circuit,962028.24,1142067.95,180039.71,18.71,324325.00,339418.73,15093.73,4.65,Marvel Collections
Richmond City,District,5598398.04,5964393.92,365995.88,6.54,992200.00,1102669.83,110469.83,11.13,Marvel Collections
Richmond City,Juvenile,48035.68,74638.48,26602.80,55.38,41260.00,47315.67,6055.67,14.68,Marvel Collections
Richmond City,Combined,-,-,-,,-,-,-,,Marvel Collections
Manchester,Circuit,401852.39,135370.45,-266481.94,-66.31,-,-,-,,Combined/ Richmond City
Manchester,District,589069.62,520683.77,-68385.85,-11.61,-,-,-,,Combined/ Richmond City
Manchester,Juvenile,-,-,-,,-,-,-,,Combined/ Richmond City
Manchester,Combined,-,-,-,,-,-,-,,Combined/ Richmond City
Roanoke City,Circuit,844064.92,783371.16,-60693.76,-7.19,126368.27,107329.62,-19038.65,-15.07,"In House Page B-13, footnote 1"
Roanoke City,District,2839917.40,3005197.70,165280.30,5.82,282620.63,265715.16,-16905.47,-5.98,"In House Page B-13, footnote 1"
Roanoke City,Juvenile,88663.00,89235.70,572.7,0.65,21076.17,13895.39,-7180.78,-34.07,"In House Page B-13, footnote 1"
Roanoke City,Combined,-,-,-,,-,-,-,,"In House Page B-13, footnote 1"
SALEM,Circuit,185871.00,227639.73,41768.73,22.47,40808.31,43206.04,2397.73,5.88,Taxation
SALEM,District,-,-,-,,-,-,-,,Taxation
SALEM,Juvenile,-,-,-,,-,-,-,,Taxation
SALEM,Combined,531925.06,731689.79,199764.73,37.56,67911.82,88712.59,20800.77,30.63,Taxation
STAUNTON,Circuit,171780.78,231562.42,59781.64,34.80,44625.78,53003.21,8377.43,18.77,Taxation
STAUNTON,District,415622.09,577524.88,161902.79,38.95,69307.09,90983.18,21676.09,31.28,Taxation
STAUNTON,Juvenile,34771.04,46090.69,11319.65,32.55,10212.07,13933.45,3721.38,36.44,Taxation
STAUNTON,Combined,-,-,-,,-,-,-,,Taxation
SUFFOLK,Circuit,836229.65,1137939.04,301709.39,36.08,153168.59,181028.95,27860.36,18.19,Taxation
SUFFOLK,District,1468611.46,1919064.35,450452.89,30.67,194866.03,238035.84,43169.81,22.15,Taxation
SUFFOLK,Juvenile,42224.42,74116.51,31892.09,75.53,19929.13,22063.40,2134.27,10.71,Taxation
SUFFOLK,Combined,-,-,-,,-,-,-,,Taxation
VIRGINIA BEACH,Circuit,4571638.31,5147105.38,575467.07,12.59,487676.97,573830.79,86153.82,17.67,"Huff, Poole, & Mahoney"
VIRGINIA BEACH,District,9589030.82,11114935.31,1525904.49,15.91,1613603.71,1782126.21,168522.50,10.44,"Huff, Poole, & Mahoney"
VIRGINIA BEACH,Juvenile,542419.91,551987.43,9567.52,1.76,48898.43,64669.25,15770.82,32.25,"Huff, Poole, & Mahoney"
VIRGINIA BEACH,Combined,-,-,-,,-,-,-,,"Huff, Poole, & Mahoney"
WAYNESBORO,Circuit,99968.10,183959.95,83991.85,84.02,44395.91,62423.90,18027.99,40.61,Taxation
WAYNESBORO,District,450730.95,584045.41,133314.46,29.58,84829.27,91634.49,6805.22,8.02,Taxation
WAYNESBORO,Juvenile,29346.90,48871.35,19524.45,66.53,11489.29,12178.44,689.15,6.00,Taxation
WAYNESBORO,Combined,-,-,-,,-,-,-,,Taxation
WINCHESTER,Circuit,333850.37,522986.45,189136.08,56.65,49218.21,81018.10,31799.89,64.61,Taxation
WINCHESTER,District,825222.18,1080297.98,255075.80,30.91,155212.92,188832.71,33619.79,21.66,Taxation
WINCHESTER,Juvenile,24054.24,41878.01,17823.77,74.10,5967.65,10307.96,4340.31,72.73,Taxation
WINCHESTER,Combined,-,-,-,,-,-,-,,Taxation
Total,Total,255986404.63,322856778.31,66870373.68,26.12,34193717.77,39500884.73,5307166.96,15.52,
