FIPS Code,Locality,Court,Assessed (Responsibility of the Circuit Court Clerk),Collected (Responsibility of the Circuit Court Clerk),Percent Collected (Responsibility of the Circuit Court Clerk),Net Assessed (Responsibility of the Commonwealth's Attorney),Gross Collected (Responsibility of the Commonwealth's Attorney),Net Collected (Responsibility of the Commonwealth's Attorney),Gross Percent Collected (Responsibility of the Commonwealth's Attorney),Collection Method (Responsibility of the Commonwealth's Attorney)
165,ROCKINGHAM/HARRISON,CIRCUIT,2364549.64,1858170.21,79,533602.42,187710.35,155799.59,35,Taxation
165,ROCKINGHAM/HARRISON,DISTRICT,3916913.20,3432939.82,88,434607.29,431927.29,358499.65,99,Taxation
165,ROCKINGHAM/HARRISON,JUVENILE,213683.77,165058.97,77,64199.63,39765.58,33005.43,62,
165,ROCKINGHAM/HARRISON,COMBINED,,,0,,,,0,
167,RUSSELL,CIRCUIT,359966.15,199999.30,56,182907.29,59747.05,49590.05,33,Taxation
167,RUSSELL,DISTRICT,,,0,,,,0,
167,RUSSELL,JUVENILE,,,0,,,,0,
167,RUSSELL,COMBINED,612023.82,563302.13,92,80800.56,84613.52,70229.22,105,Taxation
169,SCOTT,CIRCUIT,200017.32,183629.96,92,43846.87,37771.35,25668.64,86,Fines Management Ltd.
169,SCOTT,DISTRICT,,,0,,,,0,
169,SCOTT,JUVENILE,,,0,,,,0,
169,SCOTT,COMBINED,718026.82,556131.02,77,162282.64,45761.78,31059.25,28,Fines Management Ltd.
171,SHENANDOAH,CIRCUIT,461161.44,392245.95,85,105545.37,66544.88,55232.25,63,Taxation
171,SHENANDOAH,DISTRICT,,,0,228153.63,189906.76,157622.61,83,Taxation
171,SHENANDOAH,JUVENILE,49490.34,34487.90,70,15353.68,5711.76,4740.76,37,Taxation
171,SHENANDOAH,COMBINED,2081686.15,1830363.53,88,0,,,,
173,SMYTH,CIRCUIT,536377.09,258149.22,48,47253.07,66119.82,54879.45,140,Taxation
173,SMYTH,DISTRICT,1141331.74,911416.59,80,242579.81,126962.11,105378.55,52,Taxation
173,SMYTH,JUVENILE,37481.62,34498.06,92,6031.98,12638.11,10489.63,210,Taxation
173,SMYTH,COMBINED,,,0,,,,0,
175,SOUTHAMPTON/FRANKLI,CIRCUIT,580268.38,350386.05,60,392228.89,117054.57,81938.20,30,In-House
175,SOUTHAMPTON/FRANKLI,DISTRICT,,,0,,,,0,See page A-43
175,SOUTHAMPTON/FRANKLI,JUVENILE,,,0,,,,0,footnote 1
175,SOUTHAMPTON/FRANKLI,COMBINED,2123224.35,1858598.82,88,357154.18,242250.05,201067.54,68,Taxation
177,SPOTTSYLVANIA,CIRCUIT,1353224.37,791855.89,59,459210.52,170036.29,141130.12,37,Taxation
177,SPOTTSYLVANIA,DISTRICT,3339422.52,2806598.12,84,618708.52,436898.58,362625.82,71,Taxation
177,SPOTTSYLVANIA,JUVENILE,198343.48,170912.04,86,47164.19,35438.88,29414.27,75,Taxation
177,SPOTTSYLVANIA,COMBINED,,,0,,,,0,
179,STAFFORD,CIRCUIT,2844951.68,1793517.76,63,990510.73,240801.29,199865.07,24,Taxation
179,STAFFORD,DISTRICT,3188157.63,2804039.25,88,491477.08,445504.11,369768.41,91,Taxation
179,STAFFORD,JUVENILE,209906.95,168408.36,80,63689.52,38101.29,31624.07,60,Taxation
179,STAFFORD,COMBINED,,,0,,,,0,
181,SURRY,CIRCUIT,50904.64,35335.04,69,2100.94,14308.52,11876.07,681,Taxation
181,SURRY,DISTRICT,,,0,,,,0,
181,SURRY,JUVENILE,,,0,,,,0,
181,SURRY,COMBINED,223298.67,202221.82,91,32623.32,30625.64,25419.28,94,Taxation
183,SUSSEX,CIRCUIT,990178.86,826595.88,83,110236.92,33171.58,27532.41,30,Taxation
183,SUSSEX,DISTRICT,,,0,,,,0,
183,SUSSEX,JUVENILE,,,0,,,,0,
183,SUSSEX,COMBINED,3245857.76,2752361.45,85,492144.58,232691.88,193134.26,47,Taxation
185,TAZEWELL,CIRCUIT,1111807.61,543829.51,49,612525.00,222612.52,184768.39,36,Taxation
185,TAZEWELL,DISTRICT,1119423.72,899753.06,80,95459.05,139458.64,115750.67,146,Taxation
185,TAZEWELL,JUVENILE,89365.96,65971.10,74,35806.60,11553.17,9589.13,32,Taxation
185,TAZEWELL,COMBINED,,,0,,,,0,
187,WARREN,CIRCUIT,665588.03,496088.56,75,116417.63,51860.64,43044.33,45,Taxation
187,WARREN,DISTRICT,1460131.15,1268651.63,87,195682.99,161966.47,134432.17,83,Taxation
187,WARREN,JUVENILE,86301.28,65823.05,76,23996.54,15030.58,12475.38,63,Taxation
187,WARREN,COMBINED,,,0,,,,0,
191,WASHINGTON,CIRCUIT,792158.65,368032.35,46,11328.85,23574.35,19566.71,208,Taxation
191,WASHINGTON,DISTRICT,1440687.26,1170115.12,81,261352.79,138503.05,114957.53,53,Taxation
191,WASHINGTON,JUVENILE,56767.04,43820.99,77,16596.90,9733.23,8078.58,59,Taxation
191,WASHINGTON,COMBINED,,,0,,,,0,
193,WESTMORELAND,CIRCUIT,242212.40,166024.48,69,45696.43,26810.35,22252.59,59,Taxation
193,WESTMORELAND,DISTRICT,336309.72,285392.37,85,90424.99,53448.52,44362.27,59,Taxation
193,WESTMORELAND,JUVENILE,29182.27,20929.57,72,10031.18,4593.11,3812.28,46,Taxation
193,WESTMORELAND,COMBINED,,,0,,,,0,
195,WISE,CIRCUIT,1131430.91,911042.17,81,129308.92,99172.66,66147.54,77,Fines Management Ltd.
195,WISE,DISTRICT,1431263.22,1130160.48,79,318315.48,110293.00,74394.98,35,Fines Management Ltd.
195,WISE,JUVENILE,47296.96,27838.13,59,10114.87,6198.91,4029.20,61,Fines Management Ltd.
195,WISE,COMBINED,,,0,,,,0,
197,WYTHE,CIRCUIT,1464596.65,1232539.94,84,92217.96,25195.35,20912.14,27,Taxation
197,WYTHE,DISTRICT,3240132.03,2709128.86,84,506696.54,200836.58,166694.36,40,Taxation
197,WYTHE,JUVENILE,114703.31,77486.04,68,50224.15,18426.94,15294.36,37,Taxation
197,WYTHE,COMBINED,,,0,,,,0,
199,YORK,CIRCUIT,1043896.66,791894.80,76,260809.75,154546.11,111598.56,59,Quadros & Associates
199,YORK,DISTRICT,1801845.87,1440783.07,80,421292.97,256562.90,184833.96,61,Quadros & Associates
199,YORK,JUVENILE,95183.86,76593.75,80,28789.98,18217.45,13120.23,63,Quadros & Associates
199,YORK,COMBINED,,,0,,,,0,
510,ALEXANDRIA,CIRCUIT,2475451.03,1844420.50,75,268779.20,270373.70,224410.17,101,Taxation
510,ALEXANDRIA,DISTRICT,3453582.54,2914362.93,84,(199315.12),378528.41,314178.58,0,Taxation
510,ALEXANDRIA,JUVENILE,76099.91,55484.06,73,(3240.30),27303.52,22661.92,0,Taxation
510,ALEXANDRIA,COMBINED,,,0,,,,0,
520,BRISTOL,CIRCUIT,633517.62,428151.87,68,114261.92,41332.41,34305.90,36,Taxation
520,BRISTOL,DISTRICT,1021824.76,793402.20,78,147855.29,118801.94,98605.61,80,Taxation
520,BRISTOL,JUVENILE,42679.34,31637.96,74,12095.18,7340.88,6092.93,61,Taxation
520,BRISTOL,COMBINED,,,0,,,,0,
530,BUENA VISTA,CIRCUIT,120608.23,97805.69,81,32200.83,19618.88,16283.67,61,Taxation
530,BUENA VISTA,DISTRICT,,,0,,,,0,
530,BUENA VISTA,JUVENILE,,,0,,,,0,
530,BUENA VISTA,COMBINED,167021.73,152649.62,91,18352.44,24533.88,20363.12,134,Taxation
540,CHARLOTTESVILLE,CIRCUIT,949755.36,507899.65,53,228318.95,117447.35,97481.30,51,Taxation
540,CHARLOTTESVILLE,DISTRICT,1341442.20,1111546.45,83,149054.58,150022.17,124518.40,101,Taxation
540,CHARLOTTESVILLE,JUVENILE,70068.23,46262.29,66,24210.05,19378.41,16084.08,80,Taxation
540,CHARLOTTESVILLE,COMBINED,,,0,,,,0,
550,CHESAPEAKE,CIRCUIT,5284566.63,3729664.92,71,1843807.48,507606.42,365110.53,28,"Huff, Poole & Mahoney"
550,CHESAPEAKE,DISTRICT,7773954.46,5785338.89,74,1811646.66,1201150.06,840884.57,66,"Huff, Poole & Mahoney"
550,CHESAPEAKE,JUVENILE,280909.26,196939.09,70,98194.42,49580.63,35328.34,50,"Huff, Poole & Mahoney"
550,CHESAPEAKE,COMBINED,,,0,,,,0,
570,COLONIAL HEIGHTS,CIRCUIT,860120.78,549991.17,64,331938.74,94711.29,78610.37,29,Taxation
570,COLONIAL HEIGHTS,DISTRICT,,,0,,,,0,
570,COLONIAL HEIGHTS,JUVENILE,,,0,,,,0,
570,COLONIAL HEIGHTS,COMBINED,994628.33,840201.74,84,202021.08,223762.52,185722.89,111,"Huff, Poole & Mahoney"
590,DANVILLE,CIRCUIT,937395.44,98164.52,10,1130833.22,421559.37,295091.18,37,In-House
590,DANVILLE,DISTRICT,1369704.01,978630.97,71,429115.51,235305.55,164704.68,55,See page A-43
590,DANVILLE,JUVENILE,159907.93,46746.44,29,58589.56,21543.03,15080.06,37,footnote 1
590,DANVILLE,COMBINED,,,0,,,,0,In-House
595,EMPORIA,CIRCUIT,,,0,,,,0,Combined w/ Greensville Co.
595,EMPORIA,DISTRICT,,,0,,,,0,See page A-43
595,EMPORIA,JUVENILE,,,0,,,,0,footnote 3
595,EMPORIA,COMBINED,1686507.44,1429035.16,85,,,,0,
600,FAIRFAX CITY,CIRCUIT,,,0,,,,0,Combined w/ Fairfax County
600,FAIRFAX CITY,DISTRICT,1888154.67,1788656.54,95,,,,0,See page A-43
600,FAIRFAX CITY,JUVENILE,,,0,,,,0,footnote 3
600,FAIRFAX CITY,COMBINED,,,0,,,,0,
610,FALLS CHURCH,CIRCUIT,,,0,,,,0,Combined w/ Arlington Co.
610,FALLS CHURCH,DISTRICT,,,0,,,,0,See page A-43
610,FALLS CHURCH,JUVENILE,,,0,,,,0,footnote 3
610,FALLS CHURCH,COMBINED,814750.77,727264.69,89,,,,0,
620,FRANKLIN CITY,CIRCUIT,,,0,,,,0,Combined w/ Southampton Co
620,FRANKLIN CITY,DISTRICT,,,0,,,,0,See page A-43
620,FRANKLIN CITY,JUVENILE,,,0,,,,0,footnote 3
620,FRANKLIN CITY,COMBINED,244545.83,214427.08,88,,,,0,
630,FREDERICKSBURG,CIRCUIT,1085721.04,731879.17,67,385694.14,158297.64,131387.04,41,Taxation
630,FREDERICKSBURG,DISTRICT,1833424.88,1541612.07,84,200549.82,257664.52,213861.55,128,Taxation
630,FREDERICKSBURG,JUVENILE,87643.95,53305.85,61,28608.03,14435.29,11981.29,50,Taxation
630,FREDERICKSBURG,COMBINED,,,0,,,,0,
640,GALAX,CIRCUIT,,,0,,,,0,Combined w/ Grayson Co.
640,GALAX,DISTRICT,,,0,,,,0,See page A-43
640,GALAX,JUVENILE,,,0,,,,0,footnote 3
640,GALAX,COMBINED,436499.62,295654.74,68,,,,0,
650,HAMPTON,CIRCUIT,2582531.42,1667609.28,65,731427.00,168881.00,109772.00,23,City of Hampton
650,HAMPTON,DISTRICT,5401675.60,3793915.60,70,1418421.00,618866.00,402254.00,44,City of Hampton
650,HAMPTON,JUVENILE,240071.78,107323.29,45,145075.00,37684.00,24495.00,26,City of Hampton
650,HAMPTON,COMBINED,,,0,,,,0,
670,HOPEWELL,CIRCUIT,365770.71,217522.14,59,194974.19,88421.35,73389.72,45,Taxation
670,HOPEWELL,DISTRICT,,,0,,,,0,
670,HOPEWELL,JUVENILE,,,0,,,,0,
670,HOPEWELL,COMBINED,638157.79,538613.98,84,111380.37,130297.23,108146.70,117,Taxation
680,LYNCHBURG,CIRCUIT,1671228.01,964076.83,58,644902.63,217898.88,180856.07,34,Taxation
680,LYNCHBURG,DISTRICT,1898883.42,1626379.68,86,335827.44,349838.23,290365.73,104,Taxation
680,LYNCHBURG,JUVENILE,191414.71,81341.34,42,63803.42,31875.88,26456.98,50,Taxation
680,LYNCHBURG,COMBINED,,,0,,,,0,
690,MARTINSVILLE,CIRCUIT,854929.83,508160.47,59,337650.64,171977.29,142741.15,51,Taxation
690,MARTINSVILLE,DISTRICT,809240.20,626601.33,77,85310.36,101553.29,84289.23,119,Taxation
690,MARTINSVILLE,JUVENILE,59386.83,39533.89,67,20431.13,15371.52,12758.36,75,Taxation
690,MARTINSVILLE,COMBINED,,,0,,,,0,
700,NEWPORT NEWS,CIRCUIT,11648893.69,3231961.54,28,1456228.50,885317.17,734813.25,61,Taxation
700,NEWPORT NEWS,DISTRICT,7363561.83,5476198.50,74,2548983.85,1247073.30,897359.85,49,Quadros & Assoc.
700,NEWPORT NEWS,JUVENILE,208034.77,172281.44,83,58296.72,88920.47,73803.99,153,Taxation
700,NEWPORT NEWS,COMBINED,,,0,,,,0,
710,NORFOLK,CIRCUIT,4721924.77,1048125.54,22,3612447.88,799449.16,559613.70,22,Attorney-Glasser & Glasser
710,NORFOLK,DISTRICT,9596798.02,5232042.61,55,3451585.43,1771336.70,1240712.36,51,Attorney-Glasser & Glasser
710,NORFOLK,JUVENILE,290350.97,117086.00,40,180815.75,70860.12,49601.85,39,Attorney-Glasser & Glasser
710,NORFOLK,COMBINED,,,0,,,,0,
730,PETERSBURG,CIRCUIT,1277213.70,696083.14,55,821317.82,180198.52,149564.77,22,Taxation
730,PETERSBURG,DISTRICT,2302104.58,1548372.62,67,339876.00,282299.11,234308.26,83,Taxation
730,PETERSBURG,JUVENILE,210619.90,83646.56,40,28124.41,50597.76,41996.14,180,Taxation
730,PETERSBURG,COMBINED,,,0,,,,0,
740,PORTSMOUTH,CIRCUIT,3269841.80,472140.76,14,1805232.71,703708.67,605417.18,39,Roland W. Dodson LTD
740,PORTSMOUTH,DISTRICT,3343791.32,2185695.46,65,2797321.78,2290335.10,2171359.82,82,Roland W. Dodson LTD
740,PORTSMOUTH,JUVENILE,216279.62,87381.43,40,147193.54,102494.37,91031.08,70,Roland W. Dodson LTD
740,PORTSMOUTH,COMBINED,,,0,,,,0,
750,RADFORD,CIRCUIT,195199.34,133256.68,68,115396.57,25668.58,21304.92,22,Taxation
750,RADFORD,DISTRICT,,,0,,,,0,
750,RADFORD,JUVENILE,,,0,,,,0,
750,RADFORD,COMBINED,668950.44,542037.26,81,144803.57,134360.11,111518.89,93,Taxation
760,RICHMOND CITY,CIRCUIT,3411775.03,1142067.95,33,2570752.20,484607.30,339418.73,19,Marvel Collections
760,RICHMOND CITY,DISTRICT,7927506.87,5964393.92,75,3054874.10,1569697.55,1102669.83,51,Marvel Collections
760,RICHMOND CITY,JUVENILE,283834.41,74638.48,26,165625.92,67593.85,47315.67,41,Marvel Collections
760,RICHMOND CITY,COMBINED,,,0,,,,0,
764,MANCHESTER,CIRCUIT,656110.05,135370.45,21,,,,0,Combined/Richmond City
764,MANCHESTER,DISTRICT,2074648.00,520683.77,25,,,,0,See page A-43
764,MANCHESTER,JUVENILE,,,0,,,,0,footnote 3
764,MANCHESTER,COMBINED,,,0,,,,0,
770,ROANOKE CITY,CIRCUIT,1281582.52,783371.16,61,487842.91,165187.73,107329.62,34,In-House
770,ROANOKE CITY,DISTRICT,3842004.40,3005197.70,78,970327.75,412920.30,265715.16,43,See page A-43
770,ROANOKE CITY,JUVENILE,183668.47,89235.70,49,79197.09,21194.66,13895.39,27,footnote 1
770,ROANOKE CITY,COMBINED,,,0,,,,0,In-House
775,SALEM,CIRCUIT,342618.80,227639.73,66,92211.83,52055.47,43206.04,56,Taxation
775,SALEM,DISTRICT,,,0,,,,0,
775,SALEM,JUVENILE,,,0,,,,0,
775,SALEM,COMBINED,845042.66,731689.79,87,168072.90,106882.64,88712.59,64,Taxation
790,STAUNTON,CIRCUIT,448954.02,231562.42,52,225195.73,63859.29,53003.21,28,Taxation
790,STAUNTON,DISTRICT,718130.69,577524.88,80,161646.76,109618.29,90983.18,68,Taxation
790,STAUNTON,JUVENILE,72134.63,46090.69,64,30070.77,16787.29,13933.45,56,Taxation
790,STAUNTON,COMBINED,,,0,,,,0,
800,SUFFOLK,CIRCUIT,1880110.77,1137939.04,61,785024.03,218107.17,181028.95,28,Taxation
800,SUFFOLK,DISTRICT,2195197.96,1919064.35,87,336652.71,286790.17,238035.84,85,Taxation
800,SUFFOLK,JUVENILE,99139.44,74116.51,75,15723.43,26582.41,22063.40,169,Taxation
800,SUFFOLK,COMBINED,,,0,,,,0,
810,VIRGINIA BEACH,CIRCUIT,7753735.19,5147105.38,66,2061824.88,812634.29,573830.79,39,"Huff, Poole & Mahoney"
810,VIRGINIA BEACH,DISTRICT,14347885.74,11114935.31,77,3598233.19,2508745.81,1782126.21,70,"Huff, Poole & Mahoney"
810,VIRGINIA BEACH,JUVENILE,760916.26,551987.43,73,230482.70,90464.49,64669.25,39,"Huff, Poole & Mahoney"
810,VIRGINIA BEACH,COMBINED,,,0,,,,0,
820,WAYNESBORO,CIRCUIT,287700.73,183959.95,64,160369.56,75209.52,62423.90,47,Taxation
820,WAYNESBORO,DISTRICT,677169.66,584045.41,86,80645.03,110403.00,91634.49,137,Taxation
820,WAYNESBORO,JUVENILE,70553.02,48871.35,69,27202.09,14672.82,12178.44,54,Taxation
820,WAYNESBORO,COMBINED,,,0,,,,0,
840,WINCHESTER,CIRCUIT,875249.48,522986.45,60,343064.62,97612.17,81018.10,28,Taxation
840,WINCHESTER,DISTRICT,1320915.85,1080297.98,82,133656.38,227509.29,188832.71,170,Taxation
840,WINCHESTER,JUVENILE,61394.09,41878.01,68,23612.67,12419.23,10307.96,53,Taxation
840,WINCHESTER,COMBINED,,,0,,,,0,
Grand Total,Grand Total,Grand Total,429237880.18,322856778.31,75,95291503.13,50084608.39,39500884.73,53,
